키워드,제목,요약,원문링크,발행일(KST),수집시각(KST),출처
한국산업인력공단,"신화남나눔봉사단, 한국산업인력공단 부산지역본부서 11월 외국인 근로자 무료 이발서비스 실시 - 인터넷조은뉴스",본문 추출 실패,https://news.google.com/rss/articles/CBMiY0FVX3lxTFBwdURwRXhzem5PSXA5eDlLVHlkV0pKRkEzZlVLYW9jTF9mcGZMYmtJc3NmY1JIaGU4dGZuOFRhSEFFUXo1dGM2enQ4TllNSkIteHVma2JWaHFDZ1c5bmtwVHRPRQ?oc=5&hl=en-US&gl=US&ceid=US:en,2025-11-25 09:07,2025-12-01 11:16,news.google.com
한국산업인력공단,한국산업인력공단 자격증 큐넷 조회후 온라인으로 취득하기 - 브런치,본문 추출 실패,https://news.google.com/rss/articles/CBMiU0FVX3lxTE1wYUpjeHFGSmd4dkJIazk1bmJhaFRiZmg4OUpBTEFSbUg4Y2ZfaE80QkItd0YxekhOcXhlX3RuV0N6Q0tEVzg4YnNTSWJqc2twT3c4?oc=5&hl=en-US&gl=US&ceid=US:en,2025-11-28 00:50,2025-12-01 11:16,news.google.com
한국산업인력공단,"한국산업인력공단 세종지사, 공부방 봉사 대학생 2명에 장학금 - 세종의소리",본문 추출 실패,https://news.google.com/rss/articles/CBMiZ0FVX3lxTFBxQkRoZF9mTGU4aWc2M1JHSWF2cld0MjBXa0FDWHAtUFhkUVJzaGF6ZjdkX09HcTF5S1R6NzRrY29kNlk5U1Ewazd6NGJ3UmlVUDYxcVNJTnotR095UGRVVk5ObWpnMmM?oc=5&hl=en-US&gl=US&ceid=US:en,2025-11-14 17:00,2025-12-01 11:16,news.google.com
한국산업인력공단,"""국가기술자격 문항, AI가 검증""…산업인력공단, 디지털 혁신 추진 - 뉴시스",본문 추출 실패,https://news.google.com/rss/articles/CBMiYEFVX3lxTFBSYXgtcm1mbDRGX0tKcUZqZUFMUlY2LUEtRmNiTXpVSlJYRTF6S2sxcU9ySS1xeDRXX0dSakpDMHc4aGh5VEE1TnFNa1gxeW9BMmZIcWNES1V1U1djYmo2N9IBeEFVX3lxTE1OR0h3UEZTcmlVWFI2Tk5FWjJMLWVudldabHJscWNmaWpIU1IwWV8tVU1RQnhQSWJtTm85dnBLZVlabGhlWGpUT3hoQXM5N2s3LTFuQ2VfZVdZVXl2RlpuanRrNHo3UlB5bTdxUF9iTUdvQW9JV1dTQg?oc=5&hl=en-US&gl=US&ceid=US:en,2025-11-25 09:00,2025-12-01 11:16,news.google.com
한국산업인력공단,산업인력공단 ‘인재육성 로드맵’...中企 생산성 ‘UP’ - 중소기업투데이,본문 추출 실패,https://news.google.com/rss/articles/CBMiaEFVX3lxTE9qbFFMaTFJaXg4eXZmWXZUSFZFWXl6b0Jzb2ttbTFZTWdpNWxiNXVDT3RxSUE0eWI1OHBwSTJFaTA5aEotaWVrZ2J0VHlTSTdJdWpuV0s5OVo0YmJzUWNFVWZOXzV1cWU00gFsQVVfeXFMTjZKQk1TMlVZN2xWSGpYRzZlR2hGZkhBZG1TWmRQWUdMZU1GR3h1bE9tQ2ZtV05RMHlnX0N0ZFRnUHdyRDBGTkg0VTM2LWZZSWFhdEpsTjJTR3NvTktab3AxclpQZmYyXzJEakpl?oc=5&hl=en-US&gl=US&ceid=US:en,2025-11-26 10:39,2025-12-01 11:16,news.google.com
한국산업인력공단,산업인력공단 국가자격시험 사고 5년간 11건…7건은 경고도 없어 - 연합뉴스,본문 추출 실패,https://news.google.com/rss/articles/CBMiW0FVX3lxTE00MzluLXRiTlhldDBhZl9ja3ZGdC15bDB1SHVuSVA2NnJYYnhoaEFhZDc3T0JsTUZDLXlBYlFXb0ZlZnQteXJCMktKY21YVUtQUmhpYl9ZZEtFYmvSAWBBVV95cUxOSUQ5ZzNVYXRpSlBYSko3Z0lxZExIVW5renVnQXVyaDhzZllCb254S2Z0TjdwQldwRjBERTVGVWRiY2J4QlpZTEw2djRDUDE0c01KQVBTSkl2bjZTdl9KdDE?oc=5&hl=en-US&gl=US&ceid=US:en,2025-10-21 16:00,2025-12-01 11:16,news.google.com
한국산업인력공단,"고용노동부-한국산업인력공단, ‘2025년 NCS 기업활용 우수사례 경진대회’ 시상식 개최 - 동아일보",본문 추출 실패,https://news.google.com/rss/articles/CBMidkFVX3lxTE45aW5aeTlELV9FYjBZaWFiLVVFN0ZUOXNBaGUtcE1pNEpBdm5PdTRFR0lYaUhsU25sWkR3MkpKbF92YkVBaE5VUTRrOV84Ukx5ZlRFQ0RLZktKU3NKLWx3d1ZPZkQxZnNDVlRKejJrdGJMa1ZONFHSAWZBVV95cUxNaWdidkI4SnhIVUhwcVlrSHhCV3JKeEFjZzEzQnBndnFOR0NWbzFtSWt3MldnNlUybnF0U1BTbjBNTVhQMVp6UmJrc3o0Wm00a2FSM0JVcm9NRG5fSERCOW1DcFRiNGc?oc=5&hl=en-US&gl=US&ceid=US:en,2025-11-14 17:00,2025-12-01 11:16,news.google.com
한국산업인력공단,"씨엔알리서치, 공정채용 우수기업 어워즈 ‘한국산업인력공단 이사장상' 수상 - 바이오타임즈",본문 추출 실패,https://news.google.com/rss/articles/CBMibEFVX3lxTE51d2hDUGtNMndpY3dTNS1ZbGFQQTNCT0VnQWNDc2FTbzR2MUNzd2JEZDF4ekVwNDFCaHJhQTJreTl1aVVfdmhUMjhqVzdNX1NuWEktc2pudmgzNkI5YnFoeEJaWm1YU0xlTzFQdg?oc=5&hl=en-US&gl=US&ceid=US:en,2025-11-11 17:00,2025-12-01 11:16,news.google.com
한국산업인력공단,"한국산업인력공단, 기업 맞춤형 진단으로 위기 탈출 기틀 마련[희망·행복 주는 기업] - MSN",본문 추출 실패,https://news.google.com/rss/articles/CBMigARBVV95cUxOWVBUNkVLeDQ2MVc0X0ppWGNDUnR5Tm0ybGhSd05NdTZEdklEU2s0ZW9WU3ZhYUI3dldnWEZTQnV4eTlFekIzeTNudmRrcC1GdzJMOHFYSzRSbWd0MmJyTDdqYXZrand5ci12MklScm9jZk1MQ0NJMERhTlhKR3NqQUFxQXNXeEQyVUE5Zkt0Zl9iRWY5a2pVcHRGc21uOEctZG5LV3QxdWxReFYwemU4eFRqVmI5VTF0elpPWWtSS3ZrOUQ3X3pGSlJlMkRaUGFBdDhobXFXbmdqSkQxWi1PXy0tSjJESlh1TVcxNFNlbmpNRndXWTNwcGRERUNPbUVLaDN2Sm5QdVhTYzBtUEZTSlJZX3ZVZlNCSllqZ3VmcWRIZGgxUjNmRGJ1VGtaUlpXSDZLbFJmaXQxUktwRld1b1RaQk1Ec3I3ekprNm5lMHhsZktUZlVTdDlDdlBTdEE0d1RLRzhQZUZtYUdyY1FPVFl4ZzdQY083MXI5eFBjbUk0cnVJTVJqdWVsSFpWYlhyTW5FZTNoMVQzOUFpZF9Tdkgxb3RrNC1HZTRvNjBNQ1llRDdRdWxHSFBHSkQtb2tEdHg2R2ZLWlZZMFRQYnE4Ylgzdm9DUTFZaXFLQXhNMl9pWTdPeC12ckxTbV90QS1jdWR6RU5MRVNFRzlzMno5WA?oc=5&hl=en-US&gl=US&ceid=US:en,2025-11-26 02:40,2025-12-01 11:16,news.google.com
한국산업인력공단,"김영동 한국산업인력공단 본부장 ""청렴·신뢰 통해 기업·노동자 동반성장 생태계 구축"" [경기인터뷰] - 경기일보",본문 추출 실패,https://news.google.com/rss/articles/CBMiW0FVX3lxTFA2UkhyZTEtS2R2NVhpeU1XWHpTSmRSNjQxWkhlazhTVlpydHBHcDNmZnpFaktxaXM2Sm5DeDk5Z0pHcDlKSHNEbml1SmJsZDZXVVdTenNmUzJxZXc?oc=5&hl=en-US&gl=US&ceid=US:en,2025-09-14 16:00,2025-12-01 11:16,news.google.com
