키워드,제목,원문링크,발행일(KST),수집시각(KST),출처
직업훈련,직업훈련도 연금 가입기간에 포함해야…청년 납부 공백 메우자 - 헤럴드경제,https://news.google.com/rss/articles/CBMiVkFVX3lxTE9aQnNGUHBpX0duRnhjV0FIa09CcjM5a0YyYlFqeXVTUnlMZDhBSXo5cmdHY1V1cDZWM0QzbXJwbVBIRTQtX2l4ZlkyUTh5WE5ZS2pqZ1ln?oc=5&hl=en-US&gl=US&ceid=US:en,2025-10-24 08:16,2025-10-30 14:01,news.google.com
직업훈련,"대한노인회 전남 목포시지회, 목포노인직업훈련센터에서 청소 및 정리수납 교육 진행 - 백세시대",https://news.google.com/rss/articles/CBMia0FVX3lxTE5WNDB4Tkl4R0lybVFWNzU1bHdab3lmRW9kTWh4QTNNbUtoRHpMekc4NkNSb09lZG9KSll5eV85ZVM1eVFhaWFISjlVazFfaDBaNVZqaDhjeFo1bVpSQktCdjJNMkh1UjVJOU9n?oc=5&hl=en-US&gl=US&ceid=US:en,2025-09-29 16:00,2025-10-30 14:01,news.google.com
직업훈련,"경기농협, 화성직업훈련교도소 보라미봉사단과 농촌일손돕기 실시 - 경인종합일보",https://news.google.com/rss/articles/CBMibkFVX3lxTE52M0RQdzA0eEJzcXkzUUVYWHFPcmtOemtBLWRPQWF1S2tlZERfRTg1UlV5NXoxaVVVZU51T1ZtTS1OclQ0aU9aUUc3U1ZON2J5cUFvX2xJTXJQRnJvYnR0MUJhaDJqblJKbGFlSmdn0gFyQVVfeXFMTW5EXzBFVFIxbllFRFhfdnhuMWhLcW43S3M1dEFmUEZEYUZFMDFRR2VDS3NDRW5sVmNVN3JQRXRKbEdmMkpIRnRSOFpHSXJYUTlyTWk2SGNmZmlIcjRPd3VSTXlIYzhqVmlzaDhRTW9IQk93?oc=5&hl=en-US&gl=US&ceid=US:en,2025-10-21 16:00,2025-10-30 14:01,news.google.com
직업훈련,"인턴십 확대, 맞춤형 직업훈련, 실무 교육 잘 맞물려야 - 중앙일보",https://news.google.com/rss/articles/CBMiVkFVX3lxTFBiWjh4MlFrYzhKR2R0Ylc5Q1drbG9Da0k0dTQ0NzRIQUp3V3JNTDhYV2FMbzRKTk1GWGVpUVNLek5vTkdCS2I4SFdnRGhFazRHYTVVNGRB?oc=5&hl=en-US&gl=US&ceid=US:en,2025-05-30 16:00,2025-10-30 14:01,news.google.com
한국산업인력공단,"한국산업인력공단, 고용노동부 공공기관 2025년 10월 브랜드평판 1위 기록 - 에너지신문",https://news.google.com/rss/articles/CBMickFVX3lxTE5UaWtoY0hjLTdOd09zcXJtVUFIVGJTenRBeVhOQjYwWDFTbVZZMlR3eTIzUFpIV29qa19lVWVTTVNKR3JtV2xVOHhyaHpLajBQRW16X1VzV2pib2dzVUtJbGF1WVU1TC1Ed3NkXzFEYmh1QQ?oc=5&hl=en-US&gl=US&ceid=US:en,2025-10-21 13:35,2025-10-30 14:01,news.google.com
직업훈련,건설업 청년 진입 문턱 직업훈련·장려금으로 낮춘다 - 퍼블릭타임스,https://news.google.com/rss/articles/CBMiakFVX3lxTFB3enFOSU5MYVh3SEsyejI3RmdUU1c2amJsaHdqZ1ZDYXh4b3hvWnpiYzB0b29aM0F1UE9NejBmVHFhakswR3U2ZDFBMTl6cElyMzl6Q3dhV2I2Y1MzSTRVYTRDblB5cXVpaFHSAW5BVV95cUxONGJ0TVphNm5pcWN0Rk9DckFoZ2N5RlF0QV9uR3pnTXFyN1JkWXRTRk1yYlpQZGtaSjZMVHFsTnJiSWxJM1c0UE54VkxpT0t5anlmdlpPbzd2WUdrTC1HaGhNZVVKdldfRjh3ejBfQQ?oc=5&hl=en-US&gl=US&ceid=US:en,2025-10-10 17:28,2025-10-30 14:01,news.google.com
한국산업인력공단,[기고] 21세기 문맹자는 재학습 능력이 없는 사람 - 중부매일,https://news.google.com/rss/articles/CBMiakFVX3lxTE1LNjl4T1VBYV9MQTl5bUN1ajF4OVdvQllyUmhMNTRQVm1VbG9Eck1weFdINlBBU1BYam9PU2tfY081cnFXZWR1eDdKOTJ6bDJUd1JORHlTcUFFbFBVMUR1YzFRNTBubEZNY3fSAW5BVV95cUxOVmNTRHVDdU83ZUJJUXprcnR6SzBiUExnN2VUQWhDODBnUWlxMjNybnU3d280VmkxeGVVRzc0cUhmN211Ry15TmI5SFdrQ0RZV3NkMEc2YUZTa2NBNTJtaXVlSDdXNi03OUdLWUtDZw?oc=5&hl=en-US&gl=US&ceid=US:en,2025-10-28 17:13,2025-10-30 14:01,news.google.com
한국산업인력공단,"[2025 노동 국감] 공인노무사 시험, 합격자 오류 은폐…국감서 질타 - 월간노동법률",https://news.google.com/rss/articles/CBMib0FVX3lxTE5DSE1RS29RQ0FKcFM3QVE0dnNtUU5TMGZ6b1o1amFtd1dZWXhOOEhMemhvNGpYTWxKSy1Yb3Exck9oQnhodi15RXNuallmRWtESV9hNzNoQVk1VHB4UlFsRXpVRXVoMlBSTlQ2ZTU2WQ?oc=5&hl=en-US&gl=US&ceid=US:en,2025-10-22 09:45,2025-10-30 14:01,news.google.com
한국산업인력공단,대주관 제주도회･한국산업인력공단 인력 양성 협약 - 한국아파트신문,https://news.google.com/rss/articles/CBMiaEFVX3lxTE1xRk5KeG8xUk83ekVFQ0liNmRzVTFIa1IxbDE2MTRnemNJbGUxM002WURaR01iTXlDaW5sMkszSURhU201X0FBd2tQamlsbm4zNWJuZHY5dUYybEZaOFVfdWpzV0NPMnda?oc=5&hl=en-US&gl=US&ceid=US:en,2025-10-14 09:21,2025-10-30 14:01,news.google.com
한국산업인력공단,"국가자격시험 부실 관리…산업인력공단, 노동부에 ‘기관경고’ 받아 - 한겨레",https://news.google.com/rss/articles/CBMiZEFVX3lxTE1JbmhjSjNaLWZ2OFVlX0FVYllkSkVkb2pZbHJ5TERrMGYwVzJHcTY1LUdYbUhob1Zya3VUR2o1RW44YWYxQVFkN2NmX0JjWUJucy16WXMyb0lMY1lQQV8tQ3BQMlM?oc=5&hl=en-US&gl=US&ceid=US:en,2025-10-20 16:00,2025-10-30 14:01,news.google.com
한국산업인력공단,"경남정보대 전기과, 전기분야 국가기술자격시험 26명 합격 - 쿠키뉴스",https://news.google.com/rss/articles/CBMiY0FVX3lxTE8xTTN2MXcycHRFTzhIOGVaMEdXcTVvcTV5THRMeVpwS1Y3V3dxSHJVSlZPbHo5YmY0ekI1Qk1ZUnNTWDE5ZFlRZjA5azZUSVJWekVoX09Mb29sMU9mb1AwcnRPWQ?oc=5&hl=en-US&gl=US&ceid=US:en,2025-10-29 14:41,2025-10-30 14:01,news.google.com
한국산업인력공단,산업인력공단 시험 소송 5년간 106건… 부실 운영 논란 - 경북도민일보,https://news.google.com/rss/articles/CBMiakFVX3lxTFByc0NGTzhTOGNEcDlMa05Yemt4am93OGU5SXlCS0hRS2lmMV8wRXl5bmwza041bzMwNG5PWVVOOFlQM1ZfY1ZFbXJiQjNpTnE4cFFWcDNHZjF1M2t6bVV2dURKS29FbVFVOXc?oc=5&hl=en-US&gl=US&ceid=US:en,2025-10-22 18:05,2025-10-30 14:01,news.google.com
한국산업인력공단,"[기고] 부산의 도시철도, 디지털자격시험센터를 품다 - v.daum.net",https://news.google.com/rss/articles/CBMiT0FVX3lxTFBwS3lxWm1ETC1pbExvS3BSaTd1MDVvMWN2TzB5Y2txODFpdE9GU1l6bHYwOF9iX1V5dFdyVEsxbHlRbG40Rk8yNXhjOXpNOHc?oc=5&hl=en-US&gl=US&ceid=US:en,2025-10-29 10:00,2025-10-30 14:01,news.google.com
한국산업인력공단,산업인력공단 등 국감서 운영·관리 부실 지적 잇따라 - 연합뉴스,https://news.google.com/rss/articles/CBMiW0FVX3lxTE9oUnMtUG5DWkdfVFEtWXM4ZWI2NmVadXhmZWczR1lwYi1ObEpjczFobUI3MW5xeXVVVUkzSzQ3amJ3UHJQbDVHcFoxNS1yQVVpOEc4ODlmbGFtWjTSAWBBVV95cUxNal9NdjQtTE56cFNFV3BYM0pGTGx4cm9vZlgzeGFEakdobWtZUXlKUVNtWGI4R2dwUEYtQ3VJRmJIczlkVjZlYkJtT09yUFNieXMxU00wa1Y1bWtOWjYxTzk?oc=5&hl=en-US&gl=US&ceid=US:en,2025-10-21 16:00,2025-10-30 14:01,news.google.com
한국산업인력공단,"레드햇, '서밋 커넥트' 열어 오픈소스 혁신 전략 공유…혁신상에 금결원·산업인력공단 - 뉴스웍스",https://news.google.com/rss/articles/CBMib0FVX3lxTE9HMWZjQ3dJRnViQVNwQUdIeHIwSGhEZGt6dWVXbjFUSGxsY0JCSG93REExd0hab20tU0V5Z2NISWhudVFHeVFsVGhkeDRNRV9VNUExUHF1aXh5WF9sYjBGcXh6Y1ZJbHFsa2ZRRS1BONIBc0FVX3lxTE1IUzJjTDlBT2xZY19uY19ydGtnTWUyQXVDSWVRTlRFX2hBS21NQWxBT05YQzRsNUx4R0NhQ0EyRDFINHZzRjI0VnZfTlp5aUtJTnZMQk44eWROQVI2REFvRllNcVc4cUhrZHk1QnJFSk1XWTQ?oc=5&hl=en-US&gl=US&ceid=US:en,2025-10-28 15:05,2025-10-30 14:01,news.google.com
한국산업인력공단,"산업인력공단, 시험 소송 5년간 106건…공정성 논란 반복 - 뉴스1",https://news.google.com/rss/articles/CBMiX0FVX3lxTFBkWlNXTzhGSHJGbmFDdTZMNllMajRhbURsUFM4LTFxeWdUbV9OcENiWktQR1EzcTdoN0ZIMTIzSTNja3lLR0pjQ0xHSFhLNzhzQUo4ZjVVa05QZkMwN2tV?oc=5&hl=en-US&gl=US&ceid=US:en,2025-10-22 08:16,2025-10-30 14:01,news.google.com
한국산업인력공단,한국산업인력공단 해외취업처 절반이 ‘한국계 기업’ - 매일노동뉴스,https://news.google.com/rss/articles/CBMicEFVX3lxTFBTMDlqNHF4eTZJUm9TMkN0MDRzaU0ySTBlMGFrSFZoeDBOek1xVHBWREl0VnRuQkVBT3VzME1pei13OXRWVHdLQmU4dDZ6U0t4QTV3R1dqVm45LXpzNDd0dnVPbU1pSE9HQVZUZGFpMHY?oc=5&hl=en-US&gl=US&ceid=US:en,2025-10-15 16:00,2025-10-30 14:01,news.google.com
한국산업인력공단,응급실 뺑뺑이 방지법 국회 본회의 통과 - 치과신문,https://news.google.com/rss/articles/CBMiZkFVX3lxTE5WVldIMHZvUVhfYmRTU0FfWjFrMGRGRWkxVk5BX3QtLTdNaWRZZDFfMnRzelZKLVR4a2ltLUc4UUhrT1BrLXpPM2JrbnRmWHMyOWc4TW43WmljSG9JQWZzc1VrbnFlUQ?oc=5&hl=en-US&gl=US&ceid=US:en,2025-10-27 11:40,2025-10-30 14:01,news.google.com
한국산업인력공단,"경남정보대 전기과, 전기 분야 국가기술자격 26명 합격 - 네이트",https://news.google.com/rss/articles/CBMiU0FVX3lxTE9MVWhxTWRZRW1WZU9FM195Z0ZEYzUzYU9GcllVcTBsRlY4blhHOWJFZW1qZTdBNklfQTJnclM4WDI0WllGTmV4UTczbXYwN0g3U3A0?oc=5&hl=en-US&gl=US&ceid=US:en,2025-10-29 14:44,2025-10-30 14:01,news.google.com
한국산업인력공단,"김영동 한국산업인력공단 본부장 ""청렴·신뢰 통해 기업·노동자 동반성장 생태계 구축"" [경기인터뷰] - 경기일보",https://news.google.com/rss/articles/CBMiW0FVX3lxTFA2UkhyZTEtS2R2NVhpeU1XWHpTSmRSNjQxWkhlazhTVlpydHBHcDNmZnpFaktxaXM2Sm5DeDk5Z0pHcDlKSHNEbml1SmJsZDZXVVdTenNmUzJxZXc?oc=5&hl=en-US&gl=US&ceid=US:en,2025-09-14 16:00,2025-10-30 14:01,news.google.com
